AcademicYear,Stipend12Minimum,Link
2000,11500,https://web.archive.org/web/20150831015854/http://gsas.yale.edu/funding
2015,29000,https://web.archive.org/web/20150831015854/http://gsas.yale.edu/funding
2016,29650,https://web.archive.org/web/20161011013501/http://gsas.yale.edu/funding
2017,30250,https://web.archive.org/web/20171015194945/http://gsas.yale.edu/funding
2018,31000,https://web.archive.org/web/20240503170355/https://applied.math.yale.edu/graduate-program/financial-support
2019,31800,https://web.archive.org/web/20190627163617/https://gsas.yale.edu/funding
2020,32700,https://web.archive.org/web/20200930165449/https://gsas.yale.edu/admissions/phdmasters-application-process/tuition-funding-living-costs
2021,33600,https://web.archive.org/web/20211020141557/https://gsas.yale.edu/admissions/phdmasters-application-process/tuition-funding-living-costs
2022,38300,https://web.archive.org/web/20221204124002/https://gsas.yale.edu/admissions/phdmasters-application-process/tuition-funding-living-costs
2023,40530,https://web.archive.org/web/20231019124931/https://gsas.yale.edu/admissions/phdmasters-application-process/tuition-funding-living-costs
